NotaCN,NotaCH,NotaLC,NotaMT,NotaRE,Sexo,EscolaPublica,Cor
460.5,461.8,397.6,489.5,740,M,S,Pr
506.2,445.3,481.4,403.3,460,M,S,Pr
414.2,433.2,436.7,471,480,F,S,Pa
530.4,568.6,583.6,413.3,560,M,S,B
398.9,461.3,545.1,384.9,520,F,S,B
355.2,539.4,524.4,580,600,M,S,B
626.7,641.3,631.6,676.1,740,M,N,Pr
609.8,541.1,601.6,660,620,M,N,B
540.5,431.8,506,452.1,540,M,S,A
465.9,573,581.5,413.8,600,F,S,Pr
641.6,607.8,594.6,732.3,940,F,N,B
347.4,452.9,375.4,369.4,360,M,S,Pr
389,468.8,519.2,532.6,680,F,N,B
575.1,579.4,570.7,552.8,640,F,S,Pr
506.3,452.8,545.1,544.3,580,F,S,Pr
435.3,377.4,405.6,376.9,240,M,S,B
530,520.1,556.6,648.1,720,M,S,Pr
401,409.8,343,496.6,320,F,S,Pr
479,442.7,513.6,452,480,F,S,Pr
369.7,429.2,414.4,481,380,F,S,B
464.5,529.5,503.5,396.4,620,M,S,Pr
487.1,546.5,498.6,475.3,560,M,S,B
473.5,479.8,476.5,527.6,640,F,N,B
517.7,594.3,538.2,499.6,660,F,N,Pr
529.3,572.7,595.7,544.2,740,F,N,B
524.6,481.4,427.8,409.3,640,M,S,Pr
400.7,442.6,375.7,492.6,400,F,S,Pa
509.9,548.1,506.6,461.9,580,F,S,Pr
460.4,514.1,538.3,811.7,880,M,S,Pr
423.1,470.4,493.9,458.6,280,M,S,Pa
491.9,537.7,563.8,435.2,520,F,S,B
588.9,595.6,588.6,641,720,M,S,B
402.8,381.2,452.8,480.3,540,F,S,Pr
394.5,576.9,572.7,690.9,600,M,S,B
384.9,415.8,495.7,488.2,580,F,S,B
434.1,586,544.5,423,620,M,S,Pr
332.5,473.5,460.1,490.6,500,F,S,B
426.5,452,498.4,415.7,580,F,S,Pr
417.7,504.7,538.7,427.7,460,F,S,Pr
450.2,429.9,506.7,368.8,400,F,S,Pr
611.5,614.9,608.1,576.1,800,F,N,Pa
582.2,591.3,589.7,562.3,860,F,N,B
503.8,474.4,495.7,613.7,540,F,S,Pr
439.8,510.8,489.1,554.3,540,M,S,Pr
515.6,469.3,469.4,411.2,580,M,S,B
510.8,507.4,539.7,664.5,640,M,S,Pr
577.4,684.3,610.6,718.5,840,M,S,B
369.9,389.7,445.3,417.2,420,F,S,Pr
386.7,411.8,420.8,422.8,300,F,S,Pr
405.2,455.3,447.9,435.3,500,F,S,Pr
482.4,576.5,530.9,508.8,460,F,S,Pr
397.9,484.8,510.7,405.6,720,M,S,Pr
499.1,507.9,551,535,380,F,N,Pr
544.1,588.1,583.3,656.9,580,M,N,B
549,627,584.7,410.8,580,F,S,Pr
616.7,631.9,605.7,700.9,720,M,N,B
434.2,414.3,522,485.4,440,F,S,Pa
492.5,478.2,508.8,424.4,540,F,S,B
372.3,364.6,374.2,556.1,560,M,S,B
488.9,506.5,528.2,418.5,560,F,S,B
391.8,459.6,346.4,506.8,300,F,S,B
338.7,418.6,461,427.8,480,F,S,Pr
376.5,553.8,434,414.3,560,M,S,Pr
626.1,663.4,633.5,772.6,920,F,N,B
428,456.1,397.6,494.8,400,F,S,A
493,466.8,456.8,458.9,520,M,S,Pr
603.4,667.3,613.6,791.1,820,M,N,B
492.9,519.6,559,460.6,700,F,N,Pr
372.6,480.7,467.9,429.4,320,F,S,Pr
344.1,459.8,455.8,413.5,460,F,S,Pr
410.1,493.5,503.4,469.8,580,M,S,Pr
500.9,567.4,552.5,471,880,F,S,Pr
635.1,578.4,565.4,799.1,820,F,N,Pr
474.5,606.1,597.9,526.3,860,F,S,B
482,490.3,563.4,438.8,780,F,S,B
349.1,398.1,472.5,394.9,300,F,S,Pa
553.1,536.9,519.2,603.6,540,M,S,B
440.9,351.3,439.3,462.9,360,F,S,B
445.5,374.7,332,400.4,420,F,S,Pr
494.6,537.6,558,720.9,620,M,S,B
504.6,346,466.8,362,540,F,S,B
579.8,610.2,528.7,634.7,760,M,S,A
403.4,439.2,472.6,429.2,300,F,S,Pr
535.1,531.4,553,423.8,540,F,S,Pr
557.5,613.6,580.8,733.6,920,F,S,Pr
427.9,549.8,594.9,444.9,660,F,S,Pr
451.7,359.3,453.9,422.7,600,F,S,Pa
578.7,621.4,590.6,785,860,M,S,B
529.8,564.9,522.4,715.4,860,F,N,B
456.7,524.5,493.7,487.6,520,F,N,B
563.3,634.2,601.4,755.1,920,F,S,B
470.9,419.9,487.2,419.3,640,F,S,B
458.7,495.3,526.4,525,560,F,S,Pa
448.5,500.8,515.1,418.6,620,F,S,Pr
459.3,490.6,498.4,503.1,620,M,S,Pr
424,451.3,450.2,402.3,420,F,S,Pr
389.1,421.2,361.2,503.1,540,M,S,B
412.6,454.2,551.4,600.6,520,M,S,B
408.5,434.6,498.2,472.5,560,F,S,Pr
457.4,349.5,494.5,570.4,540,M,S,B
538.7,522.4,547.5,555.2,320,M,N,Pr
551.7,555.8,560.1,501,680,M,N,Pr
547.7,568.2,573.9,549.9,740,F,S,B
556.9,590.5,581.3,689.8,620,M,N,B
463.1,476.3,477.9,429.7,500,F,S,B
386,400.4,447.8,393,660,F,S,Pr
607.6,672.1,653.8,761.7,960,F,N,B
458.3,396.5,502.9,374.7,560,F,S,Pr
501.7,535.7,553.9,444.7,540,F,S,B
404.1,515.5,542.2,400,500,M,S,B
467.7,590.2,548,425.2,860,F,S,B
435.5,560.1,566.1,563.9,920,F,S,B
509.8,566.2,505.4,495.3,660,F,S,Pa
419.6,502,525,560.6,620,F,S,Pr
398.4,416.7,416.7,371.3,460,F,S,Pr
575.3,610.7,589.5,663.7,920,F,N,B
554.9,657.1,614.4,713,880,M,N,B
432,476.4,464.9,434.6,640,M,S,Pa
488,382.5,535.7,544.9,620,M,N,Pr
441.9,487.5,501.3,457.1,540,F,S,Pa
524.4,565.4,580.5,715.4,640,F,S,B
481.8,547,552.2,693,760,F,N,Pr
561.1,593,602.5,620.5,900,F,S,Pr
563.1,578.2,561.1,508.2,720,F,S,Pr
347.2,414.1,470.2,383.6,600,F,S,Pr
344.1,402.3,408.6,396.3,380,M,S,Pr
570.5,630.7,548.2,716.8,640,M,N,B
569.5,573,541.7,664.8,640,M,S,Pr
467.8,361.7,351.6,484.7,420,F,S,Pa
490.4,557.6,565,546.4,640,M,S,Pa
383.8,463.4,372,427,520,F,S,Pr
459.7,451.3,455.2,412.7,580,F,S,Pr
567.8,565.8,566.3,613.1,680,M,S,Pr
580.7,554.4,571.9,723.3,800,M,S,B
508.6,437.1,445.2,498.7,520,M,S,Pr
371.8,447.5,426.7,452,520,F,S,Pr
389.9,352.3,503.5,467.4,500,M,S,Pr
437.8,377.7,436.9,409.7,540,F,S,Pr
476.4,481.8,515.1,521.5,480,M,S,Pr
529.6,477.1,492.8,595,840,F,S,Pr
452.4,404,544.9,505.4,620,M,S,B
434.7,403.7,498.8,595.6,500,M,S,Pr
395.2,430.5,485.9,391.1,460,F,S,Pr
487.9,548.5,529.7,548.3,580,F,S,B
497.7,490.4,502.7,387.1,460,M,S,Pr
443.7,520,557.7,558.6,580,M,S,Pr
425,532,505,406.9,480,F,S,Pr
468.7,528.3,509.2,463.3,360,M,S,B
435,453,502.5,458.6,520,M,S,Pa
487.8,581.5,576.5,591,560,M,N,Pr
572.2,580.5,533.7,641.9,840,F,S,B
481.8,391.9,510.5,533.4,440,F,S,B
406.8,428.1,482.5,467.5,480,M,S,Pr
450.2,557,564.5,545.8,540,F,S,Pr
589.1,601.4,617.7,668.8,700,F,N,Pr
585.1,673,597.4,687.6,820,F,N,B
461.7,529.5,530.9,451.1,500,M,S,Pr
463.7,434.7,452.5,419.8,800,F,S,Pr
392.6,564.2,554.3,555,700,F,S,Pr
517.9,506.8,540.9,584.4,520,F,S,B
485.1,447.1,508.6,444.2,780,F,S,Pr
596.3,611.4,622.9,688.9,680,F,N,B
464.3,550.5,539.3,528.9,720,F,S,Pr
338.8,412.9,456.5,524,580,F,N,Pr
501.6,514.3,537,616,820,F,S,B
546.4,622.3,598.1,561,680,F,S,B
550.4,630.4,607.7,719.2,720,F,S,Pr
479.1,605.1,562.2,667.3,960,F,S,Pr
425.8,406.2,508.9,488,600,F,S,Pr
502.2,554.1,561,539.7,940,F,S,Pr
400.9,480.6,521.8,368.7,420,F,S,Pr
513.3,529.9,530.4,539.3,700,F,S,Pa
613.4,604.9,605.1,738.8,700,M,S,Pr
600.8,596.1,579.8,767.3,840,F,S,B
410.4,478.1,393.8,363.6,520,F,S,B
525.1,454.2,571,451.9,680,F,N,B
576.2,509.6,581.8,649.4,640,M,S,B
495.5,590.8,575.5,462.5,800,F,S,Pa
455.8,528,547.5,441.9,600,F,S,B
443.5,452.2,431.5,486.3,440,F,S,Pr
403.2,479,515.7,526.5,540,F,S,Pa
523.1,566.5,537,374.7,580,F,S,Pr
388.3,367.1,422.3,432.7,440,F,S,Pa
533.5,604.6,568.2,663.8,900,M,S,Pr
580.2,566.3,549.5,682.8,800,M,S,B
382.8,452.9,400,504.1,520,F,S,Pr
424,481.3,505.7,472.8,600,M,S,Pr
595.8,574.8,601.2,603.1,680,M,N,B
365.5,443.9,512.5,492.1,600,F,S,Pr
371,548.9,507.6,429.9,640,F,S,B
507.3,473.2,521.5,483.7,540,F,N,B
455,375.5,506.2,394.1,340,M,S,B
464.9,552.9,552.6,572.4,580,F,S,Pr
583.9,644.5,635.1,626.9,780,M,N,Pr
446.5,476.8,504.3,448.8,340,F,S,Pr
347.2,503.2,564.7,564.5,300,M,S,B
531.6,564.5,565.6,589.2,760,F,N,B
492.1,621.6,597.3,630.4,620,M,S,Pr
525.2,586.8,532.8,713.4,720,M,N,B
602.6,577.7,601.4,623,900,F,S,Pr
411.2,400.1,501.2,481.5,500,M,S,Pr
509.5,572.5,577.5,695.9,840,M,S,Pr
362,402.5,476,449.1,540,F,S,Pr
645.7,601.9,599.5,668.3,940,F,N,Pr
558.6,570.2,527.3,530.1,500,M,S,Pa
479.6,451.9,406.1,574.8,780,M,S,Pr
396.4,439.3,511.1,406.8,560,F,S,Pr
557.5,524.6,531.6,660.6,760,F,S,B
461.4,460.1,488.8,420.9,500,F,S,Pa
564.9,589.2,548.7,629.2,780,M,N,Pr
426.7,526.1,547,460.6,460,M,S,Pr
407.6,396.7,475.2,395.4,600,F,S,B
380.4,460.9,471.1,466.4,740,M,S,Pr
593.5,633.8,592.8,725.5,820,F,N,B
621.4,643.9,571.5,717.7,720,M,S,Pa
413.5,436.7,475.4,419.5,400,M,S,Pa
557.3,551.6,573.7,551.3,600,F,S,B
542.2,610.5,606.5,628.2,680,M,N,Pr
464.7,610.6,504.9,444.8,560,M,S,Pa
443.3,486.2,463.9,399.3,800,M,S,Pr
470.1,521.9,523.7,453.4,520,M,S,Pa
380.3,441.8,413,434.1,680,F,S,Pr
464.5,483.5,543.9,588.4,560,F,S,B
547.7,572.3,534.2,614.1,680,F,S,B
611.9,615.9,666.6,725.1,960,F,S,B
516,331.9,510.1,582.3,480,F,S,Pr
447.5,502.8,493.3,517.7,680,F,S,Pr
389.2,389,435.1,372.2,640,M,S,Pa
454.6,496,498.3,439.9,540,F,S,B
406.3,576.9,579.3,676.5,760,F,S,Pr
435.6,377,476,496.7,440,F,S,B
499.3,573.3,532.7,586.6,640,F,S,B
470.7,528.3,570.6,565.4,800,F,S,Pr
453.9,469.1,521.2,506.8,260,M,S,B
479.4,507.1,407.6,468.5,540,M,S,B
466.5,460.4,532.9,590.2,840,F,S,Pr
400.1,447.2,481.6,509.6,600,F,S,Pr
396.4,495.7,493.4,437.8,580,F,S,B
587.7,575.5,572.1,681.5,760,F,N,B
399.6,537.5,549.3,656.8,620,F,N,B
419.7,389.7,421.7,368.6,540,F,S,Pr
547.6,610.5,620.6,615.7,680,F,S,Pr
380.8,436.4,458.9,442.2,300,F,S,Pr
447.5,485.3,470.5,405.3,360,M,S,Pa
490.6,536.9,508.2,457.3,780,F,S,Pr
502.8,543.6,518.7,461.6,600,F,S,Pr
498,487,493.8,374.7,580,F,S,Pr
559.8,560.7,514.5,460.5,600,M,S,B
380.3,492.4,531,576.4,540,M,S,B
351.1,540.5,513.9,424.2,520,F,S,B
439.7,401.3,480.2,449.2,400,M,S,Pr
446,529.6,555.1,411.1,600,M,S,Pr
453.5,403.1,443.7,371.5,380,F,S,Pr
488.3,466.1,527.4,433.9,480,F,S,Pr
576.5,606.4,623.2,624.2,780,F,N,B
356.4,459.1,492.4,399.9,500,M,S,B
369.9,457.9,445.9,454.7,340,F,S,Pa
561.6,598.7,580.6,515,640,F,S,Pa
554.8,578,599,540.1,700,F,S,Pa
411.3,427.1,545.1,553.8,720,F,S,Pr
543.6,387.7,529.6,701.2,740,F,S,Pr
385.2,383,513.4,488.6,320,F,S,Pr
522.5,510.7,451.5,395,580,M,S,Pr
431.5,401.2,381.8,481.6,640,F,S,Pr
502.9,459.6,520.9,547.6,540,M,S,Pr
427.1,440.2,580.9,484.7,520,F,S,Pa
390.1,421.6,471.9,401.8,560,F,S,Pr
462.7,559.7,507.6,411.1,560,F,S,B
376.6,457.5,459.1,457.2,440,F,S,Pr
494.4,517.5,537,479.6,360,M,S,B
516,562.8,529.3,448.9,560,F,S,Pr
434.6,344,337.6,495.9,660,F,S,Pr
444.3,559.4,528.5,400.4,240,F,S,B
646.8,639.5,618.3,781,640,M,S,B
374.2,382.6,499.6,437.7,560,M,S,Pr
381.9,517.3,531.6,453.2,640,F,S,Pr
427.7,480,433.4,512.8,380,M,S,Pr
468,444.2,373.6,466.1,360,M,S,Pr
410.2,395,337.4,391.1,340,M,S,Pr
385.7,377.1,415.9,412.1,400,F,S,Pr
416.5,498.3,538.6,424.1,600,M,S,Pr
434.4,539.7,573.8,435.6,320,M,S,B
404,356.8,493.1,409.4,520,F,S,Pr
671.7,723.7,695.9,866.8,940,M,N,B
574.2,581.3,564.6,635,740,M,N,Pr
373.2,382.5,436.7,485.5,540,M,S,B
445.6,495.8,431.2,438.3,480,F,S,Pr
537.1,538.5,513.7,595.2,680,M,N,B
475.6,550.8,545.6,473.3,600,F,S,Pr
372.2,451.3,515.8,418.1,300,F,S,B
443.7,465.9,485.6,535.7,400,F,S,Pr
460.1,464.8,516.6,530,580,M,S,Pr
485,510.7,506.9,525.7,440,M,N,B
495.7,576.8,559.5,532.3,360,M,S,B
410.8,466.4,558,375.5,460,F,S,B
402.4,419.4,459.5,498.8,460,F,S,Pr
382.8,340.2,474.8,472.1,600,F,S,B
568,551.1,538.2,598.5,560,M,S,Pa
566.6,562.3,552.2,633.3,640,F,S,B
464.9,591.5,573.1,475.7,620,F,S,Pr
437.3,390,377.9,424.5,560,F,S,Pr
411.9,509.6,521.7,405.1,540,F,S,B
372.8,458.1,566.9,436.3,720,M,S,Pr
551.8,555.4,562,609.3,560,F,S,Pr
581.6,620.6,634,757.7,880,F,N,Pr
371.4,439.2,399.6,440.6,320,M,S,Pr
424.3,524.6,510.9,452.1,400,F,S,Pr
349.4,494.2,565.4,392.4,680,F,S,Pr
475.9,356.5,515.8,599.5,480,M,S,Pr
645.4,642.4,654.1,675.1,780,F,S,B
590.3,548.3,569.3,488.3,600,F,S,Pr
459.4,431.2,447.4,440.7,580,F,S,Pr
571.2,583.6,585,673.4,920,F,N,B
502.4,542.8,555.1,496,740,F,S,Pr
538.6,598.2,483.4,669.5,640,M,N,B
389.7,427.3,486.3,449.4,640,F,S,Pr
470.8,345.2,453.1,403,580,F,S,Pr
587.9,647.5,642.5,669.8,900,F,S,B
497.6,579.2,580,391.5,760,F,S,Pa
539,561.1,505,541.6,560,M,S,Pr
387.7,485.9,436.3,410.3,240,M,S,B
412.1,512.3,487.3,425.2,460,F,S,B
585.8,583.6,569.1,568.2,700,F,S,B
483.4,531.3,535.7,545.1,620,F,N,B
571,634,595.7,680.4,620,M,S,B
414.1,477,505.9,498.7,500,F,S,Pr
486.6,410.2,339,427,500,M,S,B
527.5,516.1,591.8,651.3,640,M,S,B
407.6,426.1,397.9,395.3,280,F,S,Pr
418.6,485.4,496.4,407.4,460,F,S,Pr
356.8,493.3,525.2,485.7,660,F,S,Pr
469.7,447.6,455.6,443.2,440,M,S,Pr
549.3,581,564.2,540.8,580,M,S,Pa
495.1,560.3,555.7,518.5,600,M,S,Pr
618,565.9,559,741.7,880,M,N,B
457,440.1,486,428.2,680,F,S,Pr
592.4,564.1,570,720.1,840,M,N,B
505.9,601.9,594.5,570.9,560,F,N,B
518.1,572.5,633.2,710.1,700,F,N,B
599,673,585.2,800.3,580,M,S,B
462.3,517.4,568,414.2,680,M,S,Pr
423.3,496.9,525.4,467,640,F,S,B
556.4,589.4,602.2,621.8,760,M,N,Pr
382,544,498.9,499.6,520,M,N,Pr
560.6,537.8,581.6,578.9,560,F,S,Pr
407.8,523.5,418,444,460,M,S,Pa
549.5,469.1,548.3,561.2,520,F,S,B
545.7,531,549.3,439.4,660,M,S,Pr
419.8,427.8,483,505.3,400,F,N,B
437.5,535,521.8,537.1,800,F,S,Pr
474,409.5,511.3,449.9,520,M,S,Pr
419.6,484.7,480.2,569.8,540,F,S,Pa
418.8,528.7,494.7,468.9,520,F,S,B
580.6,615.8,611.7,695.3,560,F,N,B
441.6,429.6,465,463.1,580,F,S,Pr
626.6,589.8,610.5,649.3,840,F,S,B
432,401.9,483.9,408.9,340,F,S,B
366.5,537.2,550.2,678.7,640,F,N,B
394,348.2,375.8,484.1,220,F,S,Pr
468.2,510.9,522.9,425.8,660,F,S,Pr
506.3,531.6,524.5,519.6,640,M,S,Pa
558.5,591.8,607.7,764.4,680,M,S,B
490.9,524.8,542.9,503.7,480,F,S,Pr
354,439.4,467.7,524.8,620,M,S,B
606.8,615.6,623.4,717.5,680,M,S,Pr
489.2,456.9,542,661.1,580,M,N,Pr
478,428,499.7,412.1,500,M,S,Pr
443,497.4,529,557.6,560,F,S,Pr
546.2,586.9,583.4,566,660,M,N,B
470.4,502.4,524.2,586.3,480,F,S,B
435.1,523,571.8,487.3,700,M,S,B
334.3,534.9,497.9,475.2,600,F,S,B
432.4,472.2,467.7,462,660,F,S,Pr
468.5,422.3,500.7,438.2,500,F,S,B
563.9,548.2,564.1,627.8,700,F,N,B
421.8,508.6,519.5,414.3,560,F,S,B
426.4,501.9,404.4,493.1,760,F,S,Pr
460.1,499.8,520.3,601.3,920,F,S,Pr
615.4,539.7,530.8,566.7,600,M,N,B
523,559.4,538.3,489.7,720,F,S,B
387.7,352.4,478.4,450.7,380,F,S,Pr
423.5,594.5,551.1,544.3,900,F,S,Pr
400.6,447.5,463.6,441.2,480,F,S,Pr
381,482.3,517.3,528.8,560,F,S,Pr
454.2,511,543.8,398.3,620,F,S,Pr
403.3,466.8,505.9,393.4,560,F,S,B
410.5,468,413.6,455.1,600,M,S,Pa
522.3,580.6,607.6,504.7,660,F,S,Pa
499.4,487.6,521.7,579.8,500,F,S,B
455,576.1,538.2,466.9,560,F,N,B
499.4,573.9,541.6,462.9,560,F,S,B
543.3,562.1,552.4,377.9,600,M,N,Pr
472.9,583.1,587.2,393.2,600,M,S,Pr
422.1,460.7,452.6,544.3,600,F,S,Pr
470.9,520.2,533.6,600.8,360,F,S,Pr
445.6,479.6,524.1,645.3,440,M,S,B
441.2,385.5,477.4,519.6,480,M,N,B
487.4,535.1,458.8,595.7,600,M,S,Pr
476.8,464.1,492,411.2,580,M,S,B
582.3,618.5,597.5,567.4,760,M,S,B
530.3,530.9,533,532.8,620,F,S,Pa
520.1,572.3,575.3,634.4,600,M,S,B
513.7,519.3,534.9,612.8,560,F,S,Pr
358.3,496.5,347.1,392.8,540,F,S,Pa
432.3,462.7,524,420,620,F,S,Pr
518.4,490.6,548.8,492.8,600,F,S,Pr
414.5,418.4,413.5,459.8,500,F,S,B
351.7,501.6,492.2,361.8,500,F,S,Pr
424.2,349.4,400.5,510.2,300,M,S,Pr
563.4,423.8,550.7,564.4,540,F,S,B
466.9,383.8,511.5,399.3,440,M,S,Pr
618.5,692.3,660,741.7,820,F,S,Pr
464.1,480.7,505.4,563.7,800,F,S,B
511.6,410.3,441.7,557.8,360,M,S,Pr
404.4,514.1,512,402.2,660,F,S,Pa
430.9,430.8,486.8,410.4,280,M,S,Pr
600.1,620.3,561.8,613,740,F,S,B
396.8,404,487.6,379.3,460,F,S,Pr
439.3,493,567.8,575.2,540,M,S,B
484.4,515.4,531.5,572,440,M,S,B
526.8,376.5,582.4,492.3,540,F,S,Pr
466.2,523.8,549.6,414,600,M,S,Pa
524.2,520.1,516.7,492.3,620,F,S,B
467.2,401.2,365.2,447.8,240,F,S,Pr
556.4,581.4,590.4,603.2,720,M,S,Pr
590.5,611.5,514.4,549.3,500,M,S,B
420.5,477.3,527.8,382.5,680,F,S,Pr
400.7,550.8,535.3,422.4,640,F,S,B
356.2,440.6,373.9,439.3,320,F,S,Pa
606.6,624.7,686.4,692.7,900,F,S,Pr
437.3,436,444.6,440.4,420,F,S,B
528.8,584.3,595.1,638.8,800,M,N,Pa
494.2,437.8,481.9,452,460,F,S,Pr
570.1,594,593.7,743.1,720,M,S,B
399.5,488.1,494.6,421.7,620,F,S,B
469.3,369.4,392.2,373.3,340,F,S,Pr
416.2,528.5,519.7,441.5,320,F,S,Pr
432.1,565.4,572.8,639.4,820,F,N,B
533,459.8,510.2,571.3,560,M,S,B
494,501.2,566.4,403,580,F,S,B
364.4,423.8,491.3,387.3,420,F,S,Pr
530.8,456.5,500.9,454.6,520,F,S,Pr
466.6,557.3,577.2,554.6,680,F,S,Pa
413,398.4,373.4,395.2,380,M,S,Pa
442.8,426.4,509.8,471.9,600,M,S,Pr
601.4,602.4,593.1,774.8,960,F,N,B
513.4,570.6,600.1,648.8,700,F,N,Pr
496.1,554.4,536.3,558.2,460,F,S,Pr
410.7,451.7,396,465.8,360,M,S,Pr
617.6,660.4,658.1,718.1,920,F,N,B
482.1,565.8,531.9,601,600,M,N,Pr
349.9,433.6,361.7,411.1,420,M,S,Pr
397.2,562.1,576.5,383.9,600,F,S,Pr
453.3,536.5,526.8,453.6,660,F,S,Pa
577.3,581.3,600.9,606.7,840,F,N,B
536.8,611.6,600.5,673.8,620,F,S,Pr
493.1,417.9,464.7,425.1,520,F,S,Pr
467.1,505.8,529.8,372.3,300,F,N,B
597.4,614.6,602.4,760.7,860,M,N,Pr
486,477.9,571.2,438.1,620,F,S,Pr
434.5,494.9,523.2,508.9,460,M,S,B
485.6,463.3,466.9,539.9,580,M,S,Pa
448.5,569.9,544.1,388.9,680,F,S,Pr
395.9,545.9,569.3,585.1,620,M,S,B
562.9,625,610.8,629,700,F,N,B
393.4,386.2,508,387.9,460,M,S,Pa
561.4,535.1,599.9,577.8,660,F,S,B
427.9,411.7,449.9,396,480,M,S,Pr
569.4,638.6,606.6,769.1,840,F,N,B
409.7,462.6,478.8,488.8,600,F,S,Pr
380,363.9,489.1,434,600,F,S,Pr
471.7,456.5,539.2,501,800,M,S,B
393.2,540.6,516.8,670.2,580,M,S,B
502.3,519.8,515.2,409.5,600,F,S,B
382.8,579.2,551.9,571,700,F,N,Pr
615.2,572.6,575,727.7,760,M,N,B
412.7,380.1,492.9,585.1,320,M,S,Pr
599,613.8,574,641.1,680,F,S,B
509.8,497,503.5,492.6,520,M,S,B
596.7,664.4,624.1,749.6,760,M,N,B
563,603.4,583,841.7,620,M,N,Pr
404.8,484.2,476.1,548.2,400,F,S,A
341.4,520.3,524.5,524.3,520,M,S,B
455.5,505.7,504.1,416.8,680,F,S,Pr
512.6,588.7,571.3,437.2,740,M,S,B
390,435.1,426.6,511.3,280,F,S,A
394.6,371.6,435.2,425.3,420,F,S,Pr
446,460.3,489.1,542.1,520,M,S,B
371.3,434.7,413.6,436.9,560,M,S,B
575.3,564.6,613.2,648.6,380,M,S,B
536.9,591.1,575.2,644.6,800,M,S,Pa
446.6,444,475.5,512.5,440,M,S,Pr
382.2,480.5,511.6,435.6,580,F,S,Pr
471.8,420,424.7,449.3,320,M,S,Pr
567.2,589.3,571.6,497.2,640,F,S,B
410.3,459.4,367.1,514.1,560,F,S,Pr
556.5,549.1,506.2,620.6,660,M,S,B
368.8,528,582.3,526.7,680,F,S,Pr
429.6,411.6,429.4,618.2,480,M,S,B
364.6,493.1,528.2,431.4,640,F,S,B
409.5,585.5,552.9,410.4,720,M,S,Pr
581.3,602.8,607.5,660.1,940,F,N,Pa
573.5,625.4,577.8,562.4,700,F,N,Pr
529.4,596,616.2,465.5,620,F,N,Pr
443.1,510.1,529.6,429.8,580,F,S,Pr
375.7,436.1,488.4,406.9,480,F,S,Pr
439.6,397.1,515.7,539.3,420,F,S,Pa
488.6,502.2,521.3,556.4,880,F,N,Pr
344.8,448.5,399.8,525.6,600,M,S,B
399.5,535.4,517.1,489,560,M,S,Pr
525,423.6,599.7,529.3,680,F,S,Pr
662.2,640.1,646.1,809.6,960,F,N,B
496.2,536.3,557.7,469.5,600,M,S,Pr
370.1,442,549.1,434.5,700,F,S,Pr
440.9,521.9,555.8,452.2,540,F,S,Pa
434.7,431,415.6,380.2,440,F,S,B
627.3,644.5,602.9,724.3,780,M,N,B
445.3,503.4,507.6,419.8,560,F,S,Pr
409.1,537.6,565,425.9,600,F,S,B
365.4,407.8,526.2,399.1,620,F,S,B
539.5,551.1,559.9,519.9,860,F,S,Pr
443.3,560,556.1,544.8,540,F,S,B
535.6,602.6,565.6,586.6,860,M,S,Pr
381,405.5,474.5,452.3,380,F,S,Pa
547.8,601.2,576.9,560.5,800,M,N,Pa
441.1,425,496.4,441.5,640,F,S,B
